category	task	dataset	# train	# train (after sampling)	# input tokens	# target tokens	ave input tokens	ave target tokens	is_original_task	has answer choices	t0 train	t0+ train	t0++ train	eval
natural_language_inference	super_glue/cb	super_glue_cb_can_we_infer	250		26221	500	105	2	1	1				1
natural_language_inference	super_glue/cb	super_glue_cb_can_we_infer_score_eval	750		78663	1500	105	2	1					1
natural_language_inference	super_glue/cb	super_glue_cb_claim_true_false_inconclusive	250		27471	802	110	3	1	1				1
natural_language_inference	super_glue/cb	super_glue_cb_claim_true_false_inconclusive_score_eval	750		82413	3000	110	4	1					1
natural_language_inference	super_glue/cb	super_glue_cb_consider_always_sometimes_never	250		27128	500	109	2	1	1				1
natural_language_inference	super_glue/cb	super_glue_cb_consider_always_sometimes_never_score_eval	750		81384	1500	109	2	1					1
natural_language_inference	super_glue/cb	super_glue_cb_does_it_follow_that	250		25128	500	101	2	1	1				1
natural_language_inference	super_glue/cb	super_glue_cb_does_it_follow_that_score_eval	750		75384	1500	101	2	1					1
natural_language_inference	super_glue/cb	super_glue_cb_does_this_imply	250		26221	500	105	2	1	1				1
natural_language_inference	super_glue/cb	super_glue_cb_does_this_imply_score_eval	750		78663	1500	105	2	1					1
natural_language_inference	super_glue/cb	super_glue_cb_guaranteed_possible_impossible	250		26721	972	107	4	1	1				1
natural_language_inference	super_glue/cb	super_glue_cb_guaranteed_possible_impossible_score_eval	750		80163	2500	107	3	1					1
natural_language_inference	super_glue/cb	super_glue_cb_guaranteed_true	250		26221	500	105	2	1	1				1
natural_language_inference	super_glue/cb	super_glue_cb_guaranteed_true_score_eval	750		78663	1500	105	2	1					1
natural_language_inference	super_glue/cb	super_glue_cb_justified_in_saying	250		25971	500	104	2	1	1				1
natural_language_inference	super_glue/cb	super_glue_cb_justified_in_saying_score_eval	750		77913	1500	104	2	1					1
natural_language_inference	super_glue/cb	super_glue_cb_must_be_true	250		26721	500	107	2	1	1				1
natural_language_inference	super_glue/cb	super_glue_cb_must_be_true_score_eval	750		80163	1500	107	2	1					1
natural_language_inference	super_glue/cb	super_glue_cb_should_assume	250		26221	500	105	2	1	1				1
natural_language_inference	super_glue/cb	super_glue_cb_should_assume_score_eval	750		78663	1500	105	2	1					1
natural_language_inference	super_glue/cb	super_glue_cb_take_the_following_as_truth	250		28471	802	114	3	1	1				1
natural_language_inference	super_glue/cb	super_glue_cb_take_the_following_as_truth_score_eval	750		85413	3000	114	4	1					1
natural_language_inference	super_glue/rte	super_glue_rte_GPT_3_style	2490		206745	7462	83	3	1	1				1
natural_language_inference	super_glue/rte	super_glue_rte_GPT_3_style_score_eval	4980		413490	14940	83	3	1					1
natural_language_inference	super_glue/rte	super_glue_rte_MNLI_crowdsource	2490		246327	4980	99	2	1	1				1
natural_language_inference	super_glue/rte	super_glue_rte_MNLI_crowdsource_score_eval	4980		492654	9960	99	2	1					1
natural_language_inference	super_glue/rte	super_glue_rte_based_on_the_previous_passage	2490		228897	4980	92	2	1	1				1
natural_language_inference	super_glue/rte	super_glue_rte_based_on_the_previous_passage_score_eval	4980		457794	9960	92	2	1					1
natural_language_inference	super_glue/rte	super_glue_rte_can_we_infer	2490		221427	4980	89	2	1	1				1
natural_language_inference	super_glue/rte	super_glue_rte_can_we_infer_score_eval	4980		442854	9960	89	2	1					1
natural_language_inference	super_glue/rte	super_glue_rte_does_it_follow_that	2490		211725	4980	85	2	1	1				1
natural_language_inference	super_glue/rte	super_glue_rte_does_it_follow_that_score_eval	4980		423450	9960	85	2	1					1
natural_language_inference	super_glue/rte	super_glue_rte_does_this_imply	2490		221427	4980	89	2	1	1				1
natural_language_inference	super_glue/rte	super_glue_rte_does_this_imply_score_eval	4980		442854	9960	89	2	1					1
natural_language_inference	super_glue/rte	super_glue_rte_guaranteed_true	2490		221427	4980	89	2	1	1				1
natural_language_inference	super_glue/rte	super_glue_rte_guaranteed_true_score_eval	4980		442854	9960	89	2	1					1
natural_language_inference	super_glue/rte	super_glue_rte_justified_in_saying	2490		218937	4980	88	2	1	1				1
natural_language_inference	super_glue/rte	super_glue_rte_justified_in_saying_score_eval	4980		437874	9960	88	2	1					1
natural_language_inference	super_glue/rte	super_glue_rte_must_be_true	2490		226407	4980	91	2	1	1				1
natural_language_inference	super_glue/rte	super_glue_rte_must_be_true_score_eval	4980		452814	9960	91	2	1					1
natural_language_inference	super_glue/rte	super_glue_rte_should_assume	2490		221427	4980	89	2	1	1				1
natural_language_inference	super_glue/rte	super_glue_rte_should_assume_score_eval	4980		442854	9960	89	2	1					1
natural_language_inference	anli	anli_GPT_3_style_r1	16946	3469	1877225	49990	111	3	1	1				1
natural_language_inference	anli	anli_GPT_3_style_r1_score_eval	50838		5631675	152514	111	3	1					1
natural_language_inference	anli	anli_GPT_3_style_r2	45460	9305	4949664	131985	109	3	1	1				1
natural_language_inference	anli	anli_GPT_3_style_r2_score_eval	136380		14848992	409140	109	3	1					1
natural_language_inference	anli	anli_GPT_3_style_r3	100459	20561	10318444	296474	103	3	1	1				1
natural_language_inference	anli	anli_GPT_3_style_r3_score_eval	301377		30955332	904131	103	3	1					1
natural_language_inference	anli	anli_MNLI_crowdsource_r1	16946	3469	2167194	66623	128	4	1	1				1
natural_language_inference	anli	anli_MNLI_crowdsource_r1_score_eval	50838		6501582	186406	128	4	1					1
natural_language_inference	anli	anli_MNLI_crowdsource_r2	45460	9305	5728823	184809	126	4	1	1				1
natural_language_inference	anli	anli_MNLI_crowdsource_r2_score_eval	136380		17186469	500060	126	4	1					1
natural_language_inference	anli	anli_MNLI_crowdsource_r3	100459	20561	12033256	391419	120	4	1	1				1
natural_language_inference	anli	anli_MNLI_crowdsource_r3_score_eval	301377		36099768	1105049	120	4	1					1
natural_language_inference	anli	anli_always_sometimes_never_r1	16946	3469	2031626	33892	120	2	1	1				1
natural_language_inference	anli	anli_always_sometimes_never_r1_score_eval	50838		6094878	101676	120	2	1					1
natural_language_inference	anli	anli_always_sometimes_never_r2	45460	9305	5365143	90920	118	2	1	1				1
natural_language_inference	anli	anli_always_sometimes_never_r2_score_eval	136380		16095429	272760	118	2	1					1
natural_language_inference	anli	anli_always_sometimes_never_r3	100459	20561	11229584	200918	112	2	1	1				1
natural_language_inference	anli	anli_always_sometimes_never_r3_score_eval	301377		33688752	602754	112	2	1					1
natural_language_inference	anli	anli_based_on_the_previous_passage_r1	16946	3469	2014680	33892	119	2	1	1				1
natural_language_inference	anli	anli_based_on_the_previous_passage_r1_score_eval	50838		6044040	101676	119	2	1					1
natural_language_inference	anli	anli_based_on_the_previous_passage_r2	45460	9305	5319683	90920	117	2	1	1				1
natural_language_inference	anli	anli_based_on_the_previous_passage_r2_score_eval	136380		15959049	272760	117	2	1					1
natural_language_inference	anli	anli_based_on_the_previous_passage_r3	100459	20561	11129125	200918	111	2	1	1				1
natural_language_inference	anli	anli_based_on_the_previous_passage_r3_score_eval	301377		33387375	602754	111	2	1					1
natural_language_inference	anli	anli_can_we_infer_r1	16946	3469	1963842	33892	116	2	1	1				1
natural_language_inference	anli	anli_can_we_infer_r1_score_eval	50838		5891526	101676	116	2	1					1
natural_language_inference	anli	anli_can_we_infer_r2	45460	9305	5183303	90920	114	2	1	1				1
natural_language_inference	anli	anli_can_we_infer_r2_score_eval	136380		15549909	272760	114	2	1					1
natural_language_inference	anli	anli_can_we_infer_r3	100459	20561	10827748	200918	108	2	1	1				1
natural_language_inference	anli	anli_can_we_infer_r3_score_eval	301377		32483244	602754	108	2	1					1
natural_language_inference	anli	anli_claim_true_false_inconclusive_r1	16946	3469	2048572	71146	121	4	1	1				1
natural_language_inference	anli	anli_claim_true_false_inconclusive_r1_score_eval	50838		6145716	203352	121	4	1					1
natural_language_inference	anli	anli_claim_true_false_inconclusive_r2	45460	9305	5410603	194862	119	4	1	1				1
natural_language_inference	anli	anli_claim_true_false_inconclusive_r2_score_eval	136380		16231809	545520	119	4	1					1
natural_language_inference	anli	anli_claim_true_false_inconclusive_r3	100459	20561	11330043	418808	113	4	1	1				1
natural_language_inference	anli	anli_claim_true_false_inconclusive_r3_score_eval	301377		33990129	1205508	113	4	1					1
natural_language_inference	anli	anli_consider_always_sometimes_never_r1	16946	3469	2029739	33892	120	2	1	1				1
natural_language_inference	anli	anli_consider_always_sometimes_never_r1_score_eval	50838		6089217	101676	120	2	1					1
natural_language_inference	anli	anli_consider_always_sometimes_never_r2	45460	9305	5358804	90920	118	2	1	1				1
natural_language_inference	anli	anli_consider_always_sometimes_never_r2_score_eval	136380		16076412	272760	118	2	1					1
natural_language_inference	anli	anli_consider_always_sometimes_never_r3	100459	20561	11222575	200918	112	2	1	1				1
natural_language_inference	anli	anli_consider_always_sometimes_never_r3_score_eval	301377		33667725	602754	112	2	1					1
natural_language_inference	anli	anli_does_it_follow_that_r1	16946	3469	1894171	33892	112	2	1	1				1
natural_language_inference	anli	anli_does_it_follow_that_r1_score_eval	50838		5682513	101676	112	2	1					1
natural_language_inference	anli	anli_does_it_follow_that_r2	45460	9305	4995124	90920	110	2	1	1				1
natural_language_inference	anli	anli_does_it_follow_that_r2_score_eval	136380		14985372	272760	110	2	1					1
natural_language_inference	anli	anli_does_it_follow_that_r3	100459	20561	10418903	200918	104	2	1	1				1
natural_language_inference	anli	anli_does_it_follow_that_r3_score_eval	301377		31256709	602754	104	2	1					1
natural_language_inference	anli	anli_does_this_imply_r1	16946	3469	1963842	33892	116	2	1	1				1
natural_language_inference	anli	anli_does_this_imply_r1_score_eval	50838		5891526	101676	116	2	1					1
natural_language_inference	anli	anli_does_this_imply_r2	45460	9305	5183303	90920	114	2	1	1				1
natural_language_inference	anli	anli_does_this_imply_r2_score_eval	136380		15549909	272760	114	2	1					1
natural_language_inference	anli	anli_does_this_imply_r3	100459	20561	10827748	200918	108	2	1	1				1
natural_language_inference	anli	anli_does_this_imply_r3_score_eval	301377		32483244	602754	108	2	1					1
natural_language_inference	anli	anli_guaranteed_possible_impossible_r1	16946	3469	1997734	52832	118	3	1	1				1
natural_language_inference	anli	anli_guaranteed_possible_impossible_r1_score_eval	50838		5993202	169460	118	3	1					1
natural_language_inference	anli	anli_guaranteed_possible_impossible_r2	45460	9305	5274223	135527	116	3	1	1				1
natural_language_inference	anli	anli_guaranteed_possible_impossible_r2_score_eval	136380		15822669	454600	116	3	1					1
natural_language_inference	anli	anli_guaranteed_possible_impossible_r3	100459	20561	11028666	315377	110	3	1	1				1
natural_language_inference	anli	anli_guaranteed_possible_impossible_r3_score_eval	301377		33085998	1004590	110	3	1					1
natural_language_inference	anli	anli_guaranteed_true_r1	16946	3469	1963842	33892	116	2	1	1				1
natural_language_inference	anli	anli_guaranteed_true_r1_score_eval	50838		5891526	101676	116	2	1					1
natural_language_inference	anli	anli_guaranteed_true_r2	45460	9305	5183303	90920	114	2	1	1				1
natural_language_inference	anli	anli_guaranteed_true_r2_score_eval	136380		15549909	272760	114	2	1					1
natural_language_inference	anli	anli_guaranteed_true_r3	100459	20561	10827748	200918	108	2	1	1				1
natural_language_inference	anli	anli_guaranteed_true_r3_score_eval	301377		32483244	602754	108	2	1					1
natural_language_inference	anli	anli_justified_in_saying_r1	16946	3469	1946896	33892	115	2	1	1				1
natural_language_inference	anli	anli_justified_in_saying_r1_score_eval	50838		5840688	101676	115	2	1					1
natural_language_inference	anli	anli_justified_in_saying_r2	45460	9305	5137843	90920	113	2	1	1				1
natural_language_inference	anli	anli_justified_in_saying_r2_score_eval	136380		15413529	272760	113	2	1					1
natural_language_inference	anli	anli_justified_in_saying_r3	100459	20561	10727289	200918	107	2	1	1				1
natural_language_inference	anli	anli_justified_in_saying_r3_score_eval	301377		32181867	602754	107	2	1					1
natural_language_inference	anli	anli_must_be_true_r1	16946	3469	1997734	33892	118	2	1	1				1
natural_language_inference	anli	anli_must_be_true_r1_score_eval	50838		5993202	101676	118	2	1					1
natural_language_inference	anli	anli_must_be_true_r2	45460	9305	5274223	90920	116	2	1	1				1
natural_language_inference	anli	anli_must_be_true_r2_score_eval	136380		15822669	272760	116	2	1					1
natural_language_inference	anli	anli_must_be_true_r3	100459	20561	11028666	200918	110	2	1	1				1
natural_language_inference	anli	anli_must_be_true_r3_score_eval	301377		33085998	602754	110	2	1					1
natural_language_inference	anli	anli_should_assume_r1	16946	3469	1963842	33892	116	2	1	1				1
natural_language_inference	anli	anli_should_assume_r1_score_eval	50838		5891526	101676	116	2	1					1
natural_language_inference	anli	anli_should_assume_r2	45460	9305	5183303	90920	114	2	1	1				1
natural_language_inference	anli	anli_should_assume_r2_score_eval	136380		15549909	272760	114	2	1					1
natural_language_inference	anli	anli_should_assume_r3	100459	20561	10827748	200918	108	2	1	1				1
natural_language_inference	anli	anli_should_assume_r3_score_eval	301377		32483244	602754	108	2	1					1
natural_language_inference	anli	anli_take_the_following_as_truth_r1	16946	3469	2116356	71146	125	4	1	1				1
natural_language_inference	anli	anli_take_the_following_as_truth_r1_score_eval	50838		6349068	203352	125	4	1					1
natural_language_inference	anli	anli_take_the_following_as_truth_r2	45460	9305	5592443	194862	123	4	1	1				1
natural_language_inference	anli	anli_take_the_following_as_truth_r2_score_eval	136380		16777329	545520	123	4	1					1
natural_language_inference	anli	anli_take_the_following_as_truth_r3	100459	20561	11731879	418808	117	4	1	1				1
natural_language_inference	anli	anli_take_the_following_as_truth_r3_score_eval	301377		35195637	1205508	117	4	1					1
paraphrase_identification	glue/mrpc	glue_mrpc_equivalent	3668		277819	8530	76	2	1	1	1	1	1	
paraphrase_identification	glue/mrpc	glue_mrpc_generate_paraphrase	2474		89813	77664	36	31			1	1	1	
paraphrase_identification	glue/mrpc	glue_mrpc_generate_sentence	2474		109605	77664	44	31			1	1	1	
paraphrase_identification	glue/mrpc	glue_mrpc_paraphrase	3668		285155	7336	78	2	1	1	1	1	1	
paraphrase_identification	glue/mrpc	glue_mrpc_replace	3668		277819	7336	76	2	1	1	1	1	1	
paraphrase_identification	glue/mrpc	glue_mrpc_same_thing	3668		255811	7336	70	2	1	1	1	1	1	
paraphrase_identification	glue/mrpc	glue_mrpc_want_to_know	3668		281487	7336	77	2	1	1	1	1	1	
paraphrase_identification	glue/qqp	glue_qqp_answer	363846	83334	15320590	727692	42	2		1	1	1	1	
paraphrase_identification	glue/qqp	glue_qqp_duplicate	363846	83334	15675660	727692	43	2	1	1	1	1	1	
paraphrase_identification	glue/qqp	glue_qqp_duplicate_or_not	363846	83334	17338319	1321006	48	4	1	1	1	1	1	
paraphrase_identification	glue/qqp	glue_qqp_meaning	363846	83334	17702165	363846	49	1	1		1	1	1	
paraphrase_identification	glue/qqp	glue_qqp_quora	363846	83334	28774116	727692	79	2	1	1	1	1	1	
paraphrase_identification	glue/qqp	glue_qqp_same_thing	363846	83334	14956744	727692	41	2	1	1	1	1	1	
paraphrase_identification	paws/labeled_final	paws_labeled_final_Concatenation	49401	43700	4427338	98802	90	2	1	1	1	1	1	
paraphrase_identification	paws/labeled_final	paws_labeled_final_Concatenation_no_label	49401	43700	4229734	98802	86	2	1	1	1	1	1	
paraphrase_identification	paws/labeled_final	paws_labeled_final_Meaning	49401	43700	4575541	98802	93	2	1	1	1	1	1	
paraphrase_identification	paws/labeled_final	paws_labeled_final_Meaning_no_label	49401	43700	4377937	98802	89	2	1	1	1	1	1	
paraphrase_identification	paws/labeled_final	paws_labeled_final_PAWS_ANLI_GPT3	49401	43700	3439318	153946	70	3	1	1	1	1	1	
paraphrase_identification	paws/labeled_final	paws_labeled_final_PAWS_ANLI_GPT3_no_label	49401	43700	3389917	98802	69	2	1	1	1	1	1	
paraphrase_identification	paws/labeled_final	paws_labeled_final_Rewrite	49401	43700	4575541	98802	93	2	1	1	1	1	1	
paraphrase_identification	paws/labeled_final	paws_labeled_final_Rewrite_no_label	49401	43700	4377937	98802	89	2	1	1	1	1	1	
paraphrase_identification	paws/labeled_final	paws_labeled_final_context_question	49401	43700	3883908	98802	79	2	1	1	1	1	1	
paraphrase_identification	paws/labeled_final	paws_labeled_final_context_question_no_label	49401	43700	3686304	98802	75	2	1	1	1	1	1	
paraphrase_identification	paws/labeled_final	paws_labeled_final_paraphrase_task	21829	19310	784717	696631	36	32			1	1	1	
paraphrase_identification	paws/labeled_final	paws_labeled_final_task_description_no_label	49401	43700	4130932	98802	84	2	1	1	1	1	1	
closed_book_qa	ai2_arc/ARC-Challenge	ai2_arc_ARC_Challenge_heres_a_problem	1119		102969	2238	92	2	1	1		1	1	
closed_book_qa	ai2_arc/ARC-Challenge	ai2_arc_ARC_Challenge_i_am_hesitating	1119		101860	8618	91	8	1	1		1	1	
closed_book_qa	ai2_arc/ARC-Challenge	ai2_arc_ARC_Challenge_multiple_choice	1119		100741	8618	90	8	1	1		1	1	
closed_book_qa	ai2_arc/ARC-Challenge	ai2_arc_ARC_Challenge_pick_false_options	1119		85075	29732	76	27				1	1	
closed_book_qa	ai2_arc/ARC-Challenge	ai2_arc_ARC_Challenge_pick_the_most_correct_option	1119		92898	2238	83	2	1	1		1	1	
closed_book_qa	ai2_arc/ARC-Challenge	ai2_arc_ARC_Challenge_qa_options	1119		71647	8618	64	8	1	1		1	1	
closed_book_qa	ai2_arc/ARC-Easy	ai2_arc_ARC_Easy_heres_a_problem	2251		186961	4502	83	2	1	1		1	1	
closed_book_qa	ai2_arc/ARC-Easy	ai2_arc_ARC_Easy_i_am_hesitating	2251		184739	13985	82	6	1	1		1	1	
closed_book_qa	ai2_arc/ARC-Easy	ai2_arc_ARC_Easy_multiple_choice	2251		182488	13985	81	6	1	1		1	1	
closed_book_qa	ai2_arc/ARC-Easy	ai2_arc_ARC_Easy_pick_false_options	2251		150974	50673	67	23				1	1	
closed_book_qa	ai2_arc/ARC-Easy	ai2_arc_ARC_Easy_pick_the_most_correct_option	2251		166702	4502	74	2	1	1		1	1	
closed_book_qa	ai2_arc/ARC-Easy	ai2_arc_ARC_Easy_qa_options	2251		123962	13985	55	6	1	1		1	1	
closed_book_qa	kilt_tasks/hotpotqa	kilt_tasks_hotpotqa_combining_facts	88869		2796937	420322	31	5			1	1	1	
closed_book_qa	kilt_tasks/hotpotqa	kilt_tasks_hotpotqa_complex_question	88869		4129972	420322	46	5			1	1	1	
closed_book_qa	kilt_tasks/hotpotqa	kilt_tasks_hotpotqa_final_exam	88869		2974675	420322	33	5			1	1	1	
closed_book_qa	kilt_tasks/hotpotqa	kilt_tasks_hotpotqa_formulate	88869		3152413	420322	35	5			1	1	1	
closed_book_qa	kilt_tasks/hotpotqa	kilt_tasks_hotpotqa_straighforward_qa	88869		2263723	420322	25	5			1	1	1	
closed_book_qa	trivia_qa/unfiltered	trivia_qa_unfiltered_first_person_context	87622		2313922	536239	26	6	1			1	1	
closed_book_qa	trivia_qa/unfiltered	trivia_qa_unfiltered_formal_description	87622		3628252	536219	41	6	1			1	1	
closed_book_qa	trivia_qa/unfiltered	trivia_qa_unfiltered_guess_question	87622		1393449	1875812	16	21				1	1	
closed_book_qa	trivia_qa/unfiltered	trivia_qa_unfiltered_question_answer	87622		2313922	536219	26	6	1			1	1	
closed_book_qa	trivia_qa/unfiltered	trivia_qa_unfiltered_question_with_instruction	87622		2226300	536223	25	6	1			1	1	
closed_book_qa	web_questions	web_questions_get_the_answer	3778		76175	18179	20	5	1			1	1	
closed_book_qa	web_questions	web_questions_potential_correct_answer	3778		83733	18218	22	5	1			1	1	
closed_book_qa	web_questions	web_questions_question_answer	3778		42175	18151	11	5	1			1	1	
closed_book_qa	web_questions	web_questions_short_general_knowledge_q	3778		61063	18179	16	5	1			1	1	
closed_book_qa	web_questions	web_questions_whats_the_answer	3778		76175	18218	20	5	1			1	1	
closed_book_qa	wiki_qa	wiki_qa_Decide_good_answer	20360		1331931	40720	65	2	1	1	1	1	1	
closed_book_qa	wiki_qa	wiki_qa_Direct_Answer_to_Question	1040		13932	41519	13	40	1		1	1	1	
closed_book_qa	wiki_qa	wiki_qa_Generate_Question_from_Topic	1040		63517	10812	61	10			1	1	1	
closed_book_qa	wiki_qa	wiki_qa_Is_This_True_	20360		1077589	40720	53	2	1	1	1	1	1	
closed_book_qa	wiki_qa	wiki_qa_Jeopardy_style	1040		57930	11990	56	12			1	1	1	
closed_book_qa	wiki_qa	wiki_qa_Topic_Prediction_Answer_Only	1040		51545	5424	50	5			1	1	1	
closed_book_qa	wiki_qa	wiki_qa_Topic_Prediction_Question_Only	1040		22390	5424	22	5			1	1	1	
closed_book_qa	wiki_qa	wiki_qa_Topic_Prediction_Question_and_Answer_Pair	1040		72895	5424	70	5			1	1	1	
closed_book_qa	wiki_qa	wiki_qa_automatic_system	20360		1413183	40720	69	2	1	1	1	1	1	
closed_book_qa	wiki_qa	wiki_qa_exercise	20360		1657503	79360	81	4	1	1	1	1	1	
closed_book_qa	wiki_qa	wiki_qa_found_on_google	20360		1291023	40720	63	2	1	1	1	1	1	
extractive_qa	adversarial_qa/dbidaf	adversarial_qa_dbidaf_answer_the_following_q	10000		2083052	66220	208	7	1		1	1	1	
extractive_qa	adversarial_qa/dbidaf	adversarial_qa_dbidaf_based_on	10000		2007192	66220	201	7	1		1	1	1	
extractive_qa	adversarial_qa/dbidaf	adversarial_qa_dbidaf_generate_question	10000		2067551	137077	207	14			1	1	1	
extractive_qa	adversarial_qa/dbidaf	adversarial_qa_dbidaf_question_context_answer	10000		1947624	66220	195	7	1		1	1	1	
extractive_qa	adversarial_qa/dbidaf	adversarial_qa_dbidaf_tell_what_it_is	10000		2066038	66220	207	7	1		1	1	1	
extractive_qa	adversarial_qa/dbert	adversarial_qa_dbert_answer_the_following_q	10000		2089289	65990	209	7	1		1	1	1	
extractive_qa	adversarial_qa/dbert	adversarial_qa_dbert_based_on	10000		2013489	65990	201	7	1		1	1	1	
